year,city,mecca,all_countries
1843,Mecca,25.16,8.17
1844,Mecca,19.05,7.65
1845,Mecca,22.46,7.85
1846,Mecca,,8.55
1847,Mecca,,8.09
1848,Mecca,,7.98
1849,Mecca,,7.98
1850,Mecca,,7.90
1851,Mecca,,8.18
1852,Mecca,,8.10
1853,Mecca,,8.04
1854,Mecca,,8.21
1855,Mecca,,8.11
1856,Mecca,,8.00
1857,Mecca,,7.76
1858,Mecca,,8.10
1859,Mecca,,8.25
1860,Mecca,,7.96
1861,Mecca,23.98,7.85
1862,Mecca,24.13,7.56
1863,Mecca,22.87,8.11
1864,Mecca,25.43,7.98
1865,Mecca,25.60,8.18
1866,Mecca,25.42,8.29
1867,Mecca,25.62,8.44
1868,Mecca,25.30,8.25
1869,Mecca,25.65,8.43
1870,Mecca,25.35,8.20
1871,Mecca,24.97,8.12
1872,Mecca,25.20,8.19
1873,Mecca,25.57,8.35
1874,Mecca,25.32,8.43
1875,Mecca,24.53,7.86
1876,Mecca,25.13,8.08
1877,Mecca,25.81,8.54
1878,Mecca,25.94,8.83
1879,Mecca,25.57,8.17
1880,Mecca,25.42,8.12
1881,Mecca,26.06,8.27
1882,Mecca,25.09,8.13
1883,Mecca,25.36,7.98
1884,Mecca,25.03,7.77
1885,Mecca,25.33,7.92
1886,Mecca,25.13,7.95
1887,Mecca,25.08,7.91
1888,Mecca,25.21,8.09
1889,Mecca,25.88,8.32
1890,Mecca,25.79,7.97
1891,Mecca,25.88,8.02
1892,Mecca,25.39,8.07
1893,Mecca,25.42,8.06
1894,Mecca,25.00,8.16
1895,Mecca,24.96,8.15
1896,Mecca,25.24,8.21
1897,Mecca,25.27,8.29
1898,Mecca,25.59,8.18
1899,Mecca,25.57,8.40
1900,Mecca,25.50,8.50
1901,Mecca,25.79,8.54
1902,Mecca,25.42,8.30
1903,Mecca,25.03,8.22
1904,Mecca,25.40,8.09
1905,Mecca,25.12,8.23
1906,Mecca,25.26,8.38
1907,Mecca,24.98,7.95
1908,Mecca,25.23,8.19
1909,Mecca,25.95,8.18
1910,Mecca,25.18,8.22
1911,Mecca,24.85,8.18
1912,Mecca,25.05,8.17
1913,Mecca,24.75,8.30
1914,Mecca,25.38,8.59
1915,Mecca,25.88,8.59
1916,Mecca,25.36,8.23
1917,Mecca,25.27,8.02
1918,Mecca,25.25,8.13
1919,Mecca,26.01,8.38
1920,Mecca,25.17,8.36
1921,Mecca,25.17,8.57
1922,Mecca,25.66,8.41
1923,Mecca,25.51,8.42
1924,Mecca,25.96,8.51
1925,Mecca,25.51,8.53
1926,Mecca,25.53,8.73
1927,Mecca,25.82,8.52
1928,Mecca,26.05,8.63
1929,Mecca,25.92,8.24
1930,Mecca,25.76,8.63
1931,Mecca,25.90,8.72
1932,Mecca,25.45,8.71
1933,Mecca,25.21,8.34
1934,Mecca,25.53,8.63
1935,Mecca,25.90,8.52
1936,Mecca,25.75,8.55
1937,Mecca,25.61,8.70
1938,Mecca,25.31,8.86
1939,Mecca,25.72,8.76
1940,Mecca,25.92,8.76
1941,Mecca,26.00,8.77
1942,Mecca,26.07,8.73
1943,Mecca,25.21,8.76
1944,Mecca,25.85,8.85
1945,Mecca,25.69,8.58
1946,Mecca,25.65,8.68
1947,Mecca,26.13,8.80
1948,Mecca,25.11,8.75
1949,Mecca,25.11,8.59
1950,Mecca,25.89,8.37
1951,Mecca,25.96,8.63
1952,Mecca,26.31,8.64
1953,Mecca,26.15,8.87
1954,Mecca,26.16,8.56
1955,Mecca,25.65,8.63
1956,Mecca,25.66,8.28
1957,Mecca,25.51,8.73
1958,Mecca,26.29,8.77
1959,Mecca,25.26,8.73
1960,Mecca,26.33,8.58
1961,Mecca,25.87,8.80
1962,Mecca,26.11,8.75
1963,Mecca,26.10,8.86
1964,Mecca,25.44,8.41
1965,Mecca,25.76,8.53
1966,Mecca,26.19,8.60
1967,Mecca,25.33,8.70
1968,Mecca,25.26,8.52
1969,Mecca,26.09,8.60
1970,Mecca,25.92,8.70
1971,Mecca,24.96,8.60
1972,Mecca,25.53,8.50
1973,Mecca,25.98,8.95
1974,Mecca,25.47,8.47
1975,Mecca,25.34,8.74
1976,Mecca,25.56,8.35
1977,Mecca,26.11,8.85
1978,Mecca,26.12,8.69
1979,Mecca,26.55,8.73
1980,Mecca,26.32,8.98
1981,Mecca,26.19,9.17
1982,Mecca,25.04,8.64
1983,Mecca,25.40,9.03
1984,Mecca,25.19,8.69
1985,Mecca,25.36,8.66
1986,Mecca,25.64,8.83
1987,Mecca,26.35,8.99
1988,Mecca,26.34,9.20
1989,Mecca,25.47,8.92
1990,Mecca,25.86,9.23
1991,Mecca,25.94,9.18
1992,Mecca,24.74,8.84
1993,Mecca,25.90,8.87
1994,Mecca,26.26,9.04
1995,Mecca,26.33,9.35
1996,Mecca,26.37,9.04
1997,Mecca,25.88,9.20
1998,Mecca,26.48,9.52
1999,Mecca,26.75,9.29
2000,Mecca,26.62,9.20
2001,Mecca,26.60,9.41
2002,Mecca,26.63,9.57
2003,Mecca,26.87,9.53
2004,Mecca,26.53,9.32
2005,Mecca,26.47,9.70
2006,Mecca,26.42,9.53
2007,Mecca,26.58,9.73
2008,Mecca,26.64,9.43
2009,Mecca,26.90,9.51
2010,Mecca,27.30,9.70
2011,Mecca,26.57,9.52
2012,Mecca,27.02,9.51
2013,Mecca,27.57,9.61
